"Date","Time","Lat","Lng","Alt","Accuracy","CPS","uSv/h"
"2025-01-01","12:19:00","","","92.8","21.69","16.2","0.0709"
"2025-01-01","12:19:01","","","92.8","20.48","16.3","0.0650"
"2025-01-01","12:19:02","","","94.5","16.79","16.4","0.0631"
"2025-01-01","12:19:04","","","94.5","11.96","18.2","0.0667"
"2025-01-01","12:19:05","","","69.2","10.80","16.8","0.0568"
"2025-01-01","12:19:06","","","73.7","8.04","15.3","0.0561"
"2025-01-01","12:19:07","","","73.5","5.66","15.3","0.0614"
"2025-01-01","12:19:08","","","87.8","4.96","16.8","0.0738"
"2025-01-01","12:19:09","","","87.8","5.06","17.3","0.0736"
"2025-01-01","12:19:10","","","85.9","5.09","17.2","0.0812"
"2025-01-01","12:19:11","","","85.9","5.11","15.6","0.0755"
"2025-01-01","12:19:12","","","87.8","5.17","16.3","0.0780"
"2025-01-01","12:19:13","","","79.9","5.25","17.6","0.0857"
"2025-01-01","12:19:14","","","79.9","5.32","17.7","0.0827"
"2025-01-01","12:19:15","","","80.0","5.43","17.4","0.0802"
"2025-01-01","12:19:16","","","80.0","5.49","17.2","0.0826"
"2025-01-01","12:19:17","","","80.0","5.53","18.7","0.0826"
"2025-01-01","12:19:18","","","79.9","5.58","19.1","0.0799"
"2025-01-01","12:19:19","","","79.7","5.58","16.8","0.0769"
"2025-01-01","12:19:20","","","79.7","5.55","16.0","0.0802"
"2025-01-01","12:19:21","","","79.5","5.48","16.2","0.0794"
"2025-01-01","12:19:22","","","79.7","5.46","16.5","0.0878"
"2025-01-01","12:19:23","","","80.4","5.44","15.5","0.0838"
"2025-01-01","12:19:24","","","80.6","5.42","15.7","0.0921"
"2025-01-01","12:19:25","","","80.7","5.39","19.7","0.0979"
"2025-01-01","12:19:26","","","80.5","5.36","20.9","0.0987"
"2025-01-01","12:19:27","","","80.3","5.33","20.7","0.1078"
"2025-01-01","12:19:28","","","79.5","5.26","20.3","0.1118"
"2025-01-01","12:19:29","","","79.5","5.17","21.8","0.1030"
"2025-01-01","12:19:30","","","79.5","5.07","22.8","0.0902"
"2025-01-01","12:19:31","","","79.5","5.00","21.4","0.0854"
"2025-01-01","12:19:32","","","79.5","4.97","20.6","0.0847"
"2025-01-01","12:19:33","","","79.6","4.94","19.3","0.0805"
"2025-01-01","12:19:34","","","79.6","4.96","18.7","0.0740"
"2025-01-01","12:19:35","","","79.7","5.00","19.4","0.0810"
"2025-01-01","12:19:36","","","79.6","5.03","18.6","0.0769"
"2025-01-01","12:19:37","","","79.3","5.06","17.8","0.0893"
"2025-01-01","12:19:38","","","79.3","5.11","18.2","0.0866"
"2025-01-01","12:19:39","","","79.6","5.16","17.9","0.1037"
"2025-01-01","12:19:40","","","79.6","5.14","18.7","0.1278"
"2025-01-01","12:19:41","","","79.6","5.12","20.8","0.1333"
"2025-01-01","12:19:42","","","79.3","5.11","21.0","0.1207"
"2025-01-01","12:19:43","","","78.8","5.09","22.0","0.1305"
"2025-01-01","12:19:44","","","78.5","5.03","21.3","0.1133"
"2025-01-01","12:19:45","","","78.3","5.00","20.6","0.1152"
"2025-01-01","12:19:46","","","78.1","5.01","19.8","0.0901"
"2025-01-01","12:19:47","","","78.1","4.99","18.4","0.0770"
"2025-01-01","12:19:48","","","78.0","4.95","18.3","0.0729"
"2025-01-01","12:19:49","","","78.1","4.91","17.9","0.0805"
"2025-01-01","12:19:50","","","78.3","4.86","17.9","0.0745"
"2025-01-01","12:19:51","","","78.7","4.77","17.6","0.0747"
"2025-01-01","12:19:52","","","79.3","4.65","17.3","0.0778"
"2025-01-01","12:19:53","","","79.6","4.58","17.5","0.0996"
"2025-01-01","12:19:54","","","79.5","4.54","17.2","0.0958"
"2025-01-01","12:19:55","","","79.6","4.52","17.9","0.0967"
"2025-01-01","12:19:56","","","80.1","4.56","17.9","0.0941"
"2025-01-01","12:19:57","","","80.4","4.64","16.8","0.1012"
"2025-01-01","12:19:58","","","80.8","4.75","17.6","0.1118"
"2025-01-01","12:19:59","","","80.9","4.82","17.1","0.1070"
"2025-01-01","12:20:00","","","80.9","4.89","17.0","0.0895"
"2025-01-01","12:20:01","","","80.8","4.92","18.4","0.1060"
"2025-01-01","12:20:02","","","80.5","4.89","17.6","0.1005"
"2025-01-01","12:20:03","","","80.4","4.84","18.9","0.0952"
"2025-01-01","12:20:04","","","80.1","5.74","22.5","0.1297"
"2025-01-01","12:20:05","","","80.3","6.66","21.8","0.1382"
"2025-01-01","12:20:06","","","80.3","7.57","20.6","0.1313"
"2025-01-01","12:20:07","","","80.1","8.52","21.2","0.1172"
"2025-01-01","12:20:08","","","80.5","9.49","19.4","0.1137"
"2025-01-01","12:20:09","","","80.2","10.48","19.6","0.1125"
"2025-01-01","12:20:10","","","80.3","10.49","19.0","0.1098"
"2025-01-01","12:20:11","","","80.3","10.48","17.8","0.0822"
"2025-01-01","12:20:12","","","80.4","10.47","18.8","0.1193"
"2025-01-01","12:20:13","","","80.7","10.45","17.8","0.1122"
"2025-01-01","12:20:14","","","81.1","10.45","17.5","0.1102"
"2025-01-01","12:20:15","","","81.2","10.46","18.4","0.1283"
"2025-01-01","12:20:16","","","81.4","10.47","19.7","0.1593"
"2025-01-01","12:20:17","","","81.5","10.50","21.5","0.1583"
"2025-01-01","12:20:18","","","81.2","10.51","21.0","0.1485"
"2025-01-01","12:20:19","","","81.1","10.53","19.0","0.0977"
"2025-01-01","12:20:20","","","81.6","10.52","18.3","0.0965"
"2025-01-01","12:20:21","","","81.4","10.52","18.9","0.0973"
"2025-01-01","12:20:22","","","80.5","10.52","18.6","0.0786"
"2025-01-01","12:20:23","","","81.3","10.53","17.6","0.0763"
"2025-01-01","12:20:24","","","80.7","10.54","16.8","0.0651"
"2025-01-01","12:20:25","","","81.6","10.54","17.1","0.0704"
"2025-01-01","12:20:26","","","81.3","10.55","18.6","0.0742"
"2025-01-01","12:20:27","","","81.3","10.53","18.6","0.0756"
"2025-01-01","12:20:28","","","80.1","10.52","19.2","0.0805"
"2025-01-01","12:20:29","","","80.3","10.50","19.7","0.0933"
"2025-01-01","12:20:30","","","80.5","10.47","19.0","0.0816"
"2025-01-01","12:20:31","","","80.6","10.45","18.4","0.0966"
"2025-01-01","12:20:32","","","80.6","10.42","17.5","0.0960"
"2025-01-01","12:20:33","","","81.4","10.40","18.0","0.0960"
"2025-01-01","12:20:34","","","81.2","10.37","18.1","0.0941"
"2025-01-01","12:20:35","","","81.3","10.34","18.4","0.0837"
"2025-01-01","12:20:36","","","81.1","10.31","19.7","0.0935"
"2025-01-01","12:20:37","","","80.6","10.27","20.2","0.1083"
"2025-01-01","12:20:38","","","85.9","10.22","20.7","0.0932"
"2025-01-01","12:20:39","","","80.6","10.17","18.6","0.0894"
"2025-01-01","12:20:40","","","80.6","10.14","18.1","0.0990"
"2025-01-01","12:20:41","","","85.9","10.10","17.4","0.0697"
"2025-01-01","12:20:42","","","86.0","10.08","19.6","0.1130"
"2025-01-01","12:20:43","","","87.8","10.10","21.4","0.1412"
"2025-01-01","12:20:44","","","86.1","10.14","22.3","0.1437"
"2025-01-01","12:20:45","","","87.8","10.17","20.0","0.1250"
"2025-01-01","12:20:46","","","87.8","10.20","19.7","0.0855"
"2025-01-01","12:20:47","","","87.8","10.23","19.0","0.0988"
"2025-01-01","12:20:48","","","87.8","10.23","22.6","0.1122"
"2025-01-01","12:20:49","","","87.8","10.23","24.7","0.0857"
"2025-01-01","12:20:50","","","87.8","10.20","25.0","0.1022"
"2025-01-01","12:20:51","","","87.8","10.18","20.8","0.0920"
"2025-01-01","12:20:52","","","87.8","10.16","19.9","0.0914"
"2025-01-01","12:20:53","","","87.8","10.13","19.4","0.0706"
"2025-01-01","12:20:54","","","87.8","10.10","21.3","0.0762"
"2025-01-01","12:20:55","","","87.8","10.06","21.8","0.0800"
"2025-01-01","12:20:56","","","87.8","10.02","23.9","0.1348"
"2025-01-01","12:20:57","","","87.8","9.99","25.2","0.1547"
"2025-01-01","12:20:58","","","87.8","9.96","23.1","0.1393"
"2025-01-01","12:20:59","","","87.8","9.95","21.5","0.1448"
"2025-01-01","12:21:00","","","87.8","9.94","19.6","0.1213"
"2025-01-01","12:21:01","","","87.6","9.94","21.2","0.1320"
"2025-01-01","12:21:02","","","87.5","9.94","21.4","0.1130"
"2025-01-01","12:21:03","","","87.8","9.94","21.8","0.1175"
"2025-01-01","12:21:04","","","87.8","9.94","20.9","0.1103"
"2025-01-01","12:21:05","","","87.8","9.94","20.4","0.0962"
"2025-01-01","12:21:06","","","87.8","9.94","20.2","0.0848"
"2025-01-01","12:21:07","","","87.8","9.94","22.3","0.1122"
